Gen;Location;Block;Plantheight;Seedyield;Seedyield_bio;Biomass_bio;TKW_plot;TKW_bio;Spike_number;Sedimentation;Falling_number;Crude_protein
BRISONr_134;QLB;B1;80.00;54.16;362.96;1224.56;29.87;31.37;616.00;52.00;474.00;15.98
BRISONr_135;QLB;B1;82.00;41.57;330.32;1282.32;31.65;34.47;596.00;56.00;358.00;16.41
BRISONr_136;QLB;B1;83.00;39.71;421.12;1555.92;28.21;31.53;532.00;45.00;215.00;14.12
BRISONr_137;QLB;B1;82.00;42.46;380.40;1395.76;22.42;26.13;572.00;42.00;189.00;14.62
BRISONr_138;QLB;B1;94.00;55.97;472.16;1725.28;28.75;29.97;532.00;44.00;306.00;14.46
BRISONr_139;QLB;B1;80.00;38.25;262.96;915.28;29.09;30.67;440.00;35.00;334.00;16.35
BRISONr_140;QLB;B1;93.00;49.08;410.72;1646.96;26.75;32.17;528.00;35.00;226.00;14.98
BRISONr_141;QLB;B1;108.00;69.07;640.32;1842.48;34.29;38.10;512.00;49.00;356.00;13.88
BRISONr_142;QLB;B1;100.00;68.70;544.00;1608.96;32.19;34.03;592.00;49.00;324.00;13.80
BRISONr_143;QLB;B1;79.00;39.19;404.96;1535.52;32.59;30.60;540.00;57.00;310.00;15.27
BRISONr_144;QLB;B1;75.00;46.16;379.84;1274.32;30.38;34.03;520.00;39.00;194.00;14.09
BRISONr_145;QLB;B1;70.00;32.05;171.36;918.88;34.77;32.50;388.00;61.00;485.00;17.42
BRISONr_146;QLB;B1;105.00;66.77;565.68;1679.76;35.06;38.37;628.00;55.00;337.00;14.62
BRISONr_147;QLB;B1;86.00;43.01;228.80;867.12;27.32;32.10;556.00;52.00;312.00;13.89
BRISONr_148;QLB;B1;89.00;48.15;299.36;1187.76;31.67;29.30;488.00;47.00;277.00;13.35
BRISONr_149;QLB;B1;86.00;56.99;468.64;1601.44;26.77;30.57;516.00;52.00;290.00;14.31
BRISONr_150;QLB;B1;90.00;40.54;400.24;1514.56;26.89;31.87;628.00;41.00;382.00;14.60
